Freq,Burst,Centrality,Sigma,PageRank,Keyword,Author,Year,Title,Source,Vol,Page,Half-life,ClusterID
3,,0.00,1.00,0.00,,Derrible S,2010,<html><b>...</b></html>,TRANSPORTATION,37,275,2,-1
3,,0.00,1.00,0.00,,Chen YG,2010,<html><b>...</b></html>,INT J URBAN SUSTAIN,1,89,4,-1
3,,0.00,1.00,0.00,,Buyantuyev A,2010,<html><b>...</b></html>,LANDSCAPE ECOL,25,17,8,-1
3,,0.03,1.00,0.00,,Banavar JR,2010,<html><b>...</b></html>,P NATL ACAD SCI USA,107,15816,2,-1
2,,0.00,1.00,0.00,,Stella AL,2010,<html><b>...</b></html>,J STAT MECH-THEORY E,0,0,1,-1
2,,0.00,1.00,0.00,,Short MB,2010,<html><b>...</b></html>,SIAM J APPL DYN SYST,9,462,3,-1
2,,0.00,1.00,0.00,,Sachsida A,2010,<html><b>...</b></html>,EMPIR ECON,39,93,3,-1
2,,0.00,1.00,0.00,,Rocha LEC,2010,<html><b>...</b></html>,P NATL ACAD SCI USA,107,5706,1,-1
2,,0.00,1.00,0.00,,Lenzen M,2010,<html><b>...</b></html>,J IND ECOL,14,73,2,-1
2,,0.00,1.00,0.00,,Jorgenson AK,2010,<html><b>...</b></html>,ORGAN ENVIRON,23,189,2,-1
2,,0.01,1.00,0.00,,Gordon MB,2010,<html><b>...</b></html>,EUR J APPL MATH,21,283,3,-1
2,,0.00,1.00,0.00,,Glaeser EL,2010,<html><b>...</b></html>,J REGIONAL SCI,50,221,2,-1
2,,0.00,1.00,0.00,,Dhakal S,2010,<html><b>...</b></html>,CURR OPIN SUST,2,277,2,-1
39,,0.05,1.00,0.00,,Clauset A,2009,<html><b>...</b></html>,SIAM REV,51,661,6,-1
24,,0.16,1.00,0.00,,Kennedy C,2009,<html><b>...</b></html>,ENVIRON SCI TECHNOL,43,7297,5,-1
21,,0.06,1.00,0.00,,Arbesman S,2009,<html><b>...</b></html>,PHYS REV E,79,0,6,-1
10,,0.02,1.00,0.00,,Balcan D,2009,<html><b>...</b></html>,P NATL ACAD SCI USA,106,21484,5,-1
9,,0.03,1.00,0.00,,Castellano C,2009,<html><b>...</b></html>,REV MOD PHYS,81,591,5,-1
8,2.99,0.01,1.02,0.00,,Lazer D,2009,<html><b>...</b></html>,SCIENCE,323,721,6,-1
6,,0.00,1.00,0.00,,Masucci AP,2009,<html><b>...</b></html>,EUR PHYS J B,71,259,8,-1
5,,0.02,1.00,0.00,,Rockstrom J,2009,<html><b>...</b></html>,NATURE,461,472,6,-1
4,,0.00,1.00,0.00,,Powell A,2009,<html><b>...</b></html>,SCIENCE,324,1298,8,-1
4,,0.04,1.00,0.00,,Fuller RA,2009,<html><b>...</b></html>,BIOL LETTERS,5,352,4,-1
3,,0.00,1.00,0.00,,Serrano MA,2009,<html><b>...</b></html>,PLOS ONE,4,0,3,-1
3,,0.00,1.00,0.00,,Scheffer M,2009,<html><b>...</b></html>,NATURE,461,53,6,-1
3,,0.00,1.00,0.00,,Reades J,2009,<html><b>...</b></html>,ENVIRON PLANN B,36,824,6,-1
3,,0.01,1.00,0.00,,Krings G,2009,<html><b>...</b></html>,J STAT MECH-THEORY E,0,0,3,-1
3,,0.00,1.00,0.00,,Hidalgo CA,2009,<html><b>...</b></html>,P NATL ACAD SCI USA,106,10570,8,-1
3,,0.00,1.00,0.00,,Hamilton MJ,2009,<html><b>...</b></html>,P NATL ACAD SCI USA,106,12255,6,-1
3,,0.00,1.00,0.00,,Glaeser EL,2009,<html><b>...</b></html>,J ECON LIT,47,983,7,-1
3,,0.00,1.00,0.00,,Dodman D,2009,<html><b>...</b></html>,ENVIRON URBAN,21,185,1,-1
3,,0.00,1.00,0.00,,Dhakal S,2009,<html><b>...</b></html>,ENERG POLICY,37,4208,3,-1
3,,0.01,1.00,0.00,,Chen YG,2009,<html><b>...</b></html>,CHAOS SOLITON FRACT,39,49,5,-1
3,,0.00,1.00,0.00,,Carpenter SR,2009,<html><b>...</b></html>,P NATL ACAD SCI USA,106,1305,6,-1
3,,0.01,1.00,0.00,,Basu B,2009,<html><b>...</b></html>,INDIAN J PHYS,83,1575,3,-1
3,,0.00,1.00,0.00,,Arthur W,2009,<html><b>...</b></html>,NATURE TECHNOLOGY WH,0,0,8,-1
3,,0.01,1.00,0.00,,Arthur BW,2009,<html><b>...</b></html>,NATURE TECHNOLOGY WH,0,0,7,-1
3,,0.00,1.00,0.00,,Altmann EG,2009,<html><b>...</b></html>,PLOS ONE,4,0,3,-1
2,,0.00,1.00,0.00,,Xie F,2009,<html><b>...</b></html>,COMPUT ENVIRON URBAN,33,211,3,-1
2,,0.00,1.00,0.00,,Wu F,2009,<html><b>...</b></html>,P 11 IEEE INT C COMP,4,409,2,-1
2,,0.00,1.00,0.00,,Parrish DD,2009,<html><b>...</b></html>,SCIENCE,326,674,4,-1
2,,0.00,1.00,0.00,,Oliver-sola J,2009,<html><b>...</b></html>,APPL ENERG,86,1915,2,-1
2,,0.00,1.00,0.00,,Oliver-sola J,2009,<html><b>...</b></html>,INT J LIFE CYCLE ASS,14,302,2,-1
2,,0.00,1.00,0.00,,Oliver-sola J,2009,<html><b>...</b></html>,ENERG POLICY,37,4711,2,-1
2,,0.00,1.00,0.00,,Niza S,2009,<html><b>...</b></html>,J IND ECOL,13,384,3,-1
2,,0.00,1.00,0.00,,Larsen HN,2009,<html><b>...</b></html>,ENVIRON SCI POLICY,12,791,3,-1
2,,0.00,1.00,0.00,,Jiang B,2009,<html><b>...</b></html>,INT J GEOGR INF SCI,23,1033,3,-1
2,,0.00,1.00,0.00,,ICLEI,2009,<html><b>...</b></html>,INT LOC GOV GHG EM A,0,0,3,-1
